time,velocity,altitude
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0,0
0.033,0.277,0
0.066,0.277,0
0.099,0.555,0
0.132,0.555,0
0.165,0.555,0
0.198,0.555,0
0.231,0.833,0
0.264,0.833,0
0.297,0.833,0
0.33,0.833,0
0.363,1.111,0
0.396,1.111,0
0.429,1.111,0
0.462,1.111,0
0.495,1.388,0
0.528,1.388,0
0.561,1.388,0
0.594,1.388,0
0.627,1.388,0
0.66,1.388,0
0.693,1.388,0
0.726,1.666,0
0.759,1.666,0
0.792,1.666,0
0.825,1.666,0
0.858,1.666,0
0.891,1.666,0
0.924,1.666,0
0.957,1.666,0
0.99,1.666,0
1.023,1.944,0
1.056,1.944,0
1.089,1.944,0
1.122,1.944,0
1.155,1.944,0
1.188,1.944,0
1.221,1.944,0
1.254,1.944,0
1.287,1.944,0
1.32,1.944,0
1.353,1.944,0
1.386,1.944,0
1.419,1.944,0
1.452,1.944,0
1.485,1.944,0
1.518,1.944,0
1.551,1.944,0
1.584,1.944,0
1.617,1.944,0
1.65,1.944,0
1.683,1.944,0
1.749,2.222,0
1.782,2.222,0
1.815,2.5,0
1.848,2.5,0
1.881,2.5,0
1.914,2.5,0
1.947,2.777,0
1.98,2.777,0
2.013,2.777,0
2.046,2.777,0
2.079,3.055,0
2.112,3.055,0
2.145,3.055,0
2.178,3.333,0
2.211,3.333,0
2.244,3.333,0
2.277,3.333,0
2.31,3.611,0
2.343,3.611,0
2.376,3.611,0
2.409,3.888,0
2.442,3.888,0
2.475,3.888,0
2.508,4.166,0
2.541,4.166,0
2.574,4.166,0
2.607,4.444,0
2.64,4.444,0
2.673,4.444,0
2.706,4.444,0
2.739,4.722,0
2.772,4.722,0
2.805,4.722,0
2.838,5,0
2.871,5,0
2.904,5,0
2.937,5.277,0
2.97,5.277,0
3.003,5.277,0
3.036,5.555,0
3.069,5.555,0
3.102,5.555,0
3.135,5.555,0
3.168,5.833,0
3.201,5.833,0
3.234,6.111,0
3.267,6.111,0
3.3,6.111,0
3.333,6.388,0
3.366,6.388,0
3.399,6.388,0
3.432,6.666,0
3.465,6.666,0
3.498,6.666,0
3.531,6.944,0
3.564,6.944,0
3.597,7.222,0
3.63,7.222,0
3.663,7.222,0
3.696,7.5,0
3.729,7.5,0
3.762,7.5,0
3.795,7.777,0
3.828,7.777,0
3.861,7.777,0
3.894,8.055,0
3.927,8.055,0
3.96,8.055,0
3.993,8.333,0
4.026,8.333,0
4.059,8.333,0
4.092,8.611,0
4.125,8.611,0
4.158,8.611,0
4.191,8.888,0
4.224,8.888,0
4.257,8.888,0
4.29,9.166,0
4.323,9.166,0
4.356,9.166,0
4.389,9.166,0
4.422,9.444,0
4.455,9.444,0
4.488,9.444,0
4.521,9.444,0
4.587,9.722,0
4.62,9.722,0
4.686,10,0
4.719,10.277,0
4.752,10.277,0
4.818,10.555,0
4.851,10.833,0
4.884,10.833,0
4.917,10.833,0
4.95,11.111,0
4.983,11.111,0
5.016,11.388,0
5.049,11.388,0
5.082,11.388,0
5.115,11.666,0
5.148,11.666,0
5.181,11.666,0
5.214,11.944,0
5.247,11.944,0
5.28,12.222,0
5.313,12.222,0
5.346,12.5,0
5.379,12.5,0
5.412,12.777,0
5.445,12.777,0
5.478,12.777,0
5.511,13.055,0
5.544,13.055,0
5.577,13.333,0
5.61,13.333,0
5.643,13.333,0
5.676,13.611,0
5.709,13.611,0
5.742,13.888,0
5.775,13.888,0
5.808,13.888,0
5.841,14.166,0
5.874,14.166,0
5.907,14.444,0
5.94,14.444,0
5.973,14.444,0
6.006,14.722,0
6.039,14.722,0
6.105,15,0
6.171,15.277,0
6.204,15.277,0
6.237,15.555,0
6.27,15.555,0
6.303,15.833,0
6.336,15.833,0
6.369,16.111,0
6.402,16.111,0
6.435,16.111,0
6.468,16.388,0
6.501,16.388,0
6.534,16.666,0
6.567,16.666,0
6.6,16.944,0
6.633,16.944,0
6.666,17.222,0
6.699,17.222,0
6.732,17.222,0
6.765,17.5,0
6.798,17.5,0
6.831,17.777,0
6.864,17.777,0
6.897,18.055,0
6.93,18.055,0
6.963,18.333,0
6.996,18.333,0
7.029,18.333,0
7.062,18.611,0
7.095,18.611,0
7.128,18.888,0
7.161,18.888,0
7.194,18.888,0
7.227,19.166,0
7.26,19.166,0
7.293,19.444,0
7.326,19.444,0
7.359,19.444,0
7.392,19.722,0
7.425,19.722,0
7.458,19.722,0
7.491,20,0
7.524,20,0
7.557,20.277,0
7.59,20.277,0
7.623,20.555,0
7.656,20.555,0
7.689,20.833,0
7.722,20.833,0
7.755,20.833,0
7.788,21.111,0
7.821,21.111,0
7.854,21.388,0
7.887,21.388,0.1
7.92,21.666,0.1
7.953,21.666,0.1
7.986,21.944,0.1
8.019,21.944,0.1
8.052,21.944,0.1
8.085,22.222,0.1
8.118,22.222,0.1
8.151,22.5,0.1
8.217,22.777,0.1
8.25,22.777,0.1
8.283,23.055,0.1
8.316,23.055,0.1
8.349,23.333,0.1
8.382,23.333,0.1
8.415,23.611,0.1
8.448,23.611,0.1
8.481,23.888,0.1
8.514,23.888,0.1
8.547,23.888,0.1
8.58,24.166,0.1
8.613,24.166,0.1
8.646,24.444,0.1
8.679,24.722,0.1
8.712,24.722,0.1
8.745,24.722,0.1
8.778,25,0.1
8.811,25,0.1
8.844,25.277,0.1
8.877,25.277,0.1
8.91,25.555,0.1
8.943,25.555,0.1
8.976,25.555,0.1
9.009,25.833,0.1
9.042,25.833,0.1
9.075,25.833,0.1
9.108,26.111,0.1
9.141,26.111,0.1
9.174,26.388,0.1
