Time (s),Speed (km/h),Altitude (km)
0.03,0,0
0.07,1,0.0004
0.1,1,0.0008
0.13,1,0.0012
0.17,1,0.0016
0.2,2,0.0019
0.23,2,0.0023
0.27,2,0.0027
0.3,2,0.0031
0.33,2,0.0035
0.37,3,0.0039
0.4,3,0.0043
0.43,3,0.0047
0.47,3,0.005
0.5,3,0.0054
0.53,4,0.0058
0.57,4,0.0062
0.6,4,0.0066
0.63,4,0.007
0.67,4,0.0074
0.7,5,0.0078
0.73,5,0.0081
0.77,5,0.0085
0.8,5,0.0089
0.83,6,0.0093
0.87,6,0.0097
0.9,6,0.0101
0.93,7,0.0105
0.97,7,0.0109
1,7,0.0112
1.03,8,0.0116
1.07,8,0.012
1.1,8,0.0124
1.13,9,0.0128
1.17,9,0.0132
1.2,9,0.0136
1.23,9,0.014
1.27,9,0.0143
1.3,10,0.0147
1.33,10,0.0151
1.37,10,0.0155
1.4,10,0.0159
1.43,10,0.0163
1.47,10,0.0167
1.5,11,0.0171
1.53,11,0.0174
1.57,11,0.0178
1.6,11,0.0182
1.63,11,0.0186
1.67,11,0.019
1.7,11,0.0194
1.74,11,0.0198
1.77,11,0.0202
1.8,12,0.0205
1.84,12,0.0209
1.87,12,0.0213
1.9,12,0.0217
1.94,12,0.0221
1.97,12,0.0225
2,12,0.0229
2.04,12,0.0233
2.07,12,0.0236
2.1,12,0.024
2.14,12,0.0244
2.17,12,0.0248
2.2,12,0.0252
2.24,12,0.0256
2.27,12,0.026
2.3,12,0.0264
2.34,12,0.0267
2.37,13,0.0271
2.4,13,0.0275
2.44,13,0.0279
2.47,13,0.0283
2.5,13,0.0287
2.54,13,0.0291
2.57,13,0.0295
2.6,13,0.0298
2.64,13,0.0302
2.67,13,0.0306
2.7,14,0.031
2.74,14,0.0314
2.77,14,0.0318
2.8,14,0.0322
2.84,14,0.0326
2.87,15,0.0329
2.9,15,0.0333
2.94,15,0.0337
2.97,15,0.0341
3,16,0.0345
3.04,16,0.0349
3.07,16,0.0353
3.1,16,0.0357
3.14,16,0.036
3.17,17,0.0364
3.2,17,0.0368
3.24,17,0.0372
3.27,17,0.0376
3.3,18,0.038
3.34,18,0.0384
3.37,18,0.0388
3.4,18,0.0391
3.44,18,0.0395
3.47,19,0.0399
3.5,19,0.0403
